german;french;category;level
Montag;lundi;Wochentage;1
Dienstag;mardi;Wochentage;1
Mittwoch;mercredi;Wochentage;1
Donnerstag;jeudi;Wochentage;1
Freitag;vendredi;Wochentage;1
Samstag;samedi;Wochentage;1
Sonntag;dimanche;Wochentage;1
Januar;janvier;Monate;1
Februar;février;Monate;1
März;mars;Monate;1
